question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Which property did James Monroe sell in 1817?,Highland Plantation,"[""Monroe had racked up many debts during his years of public life. As a result, he was forced to sell off his Highland Plantation (now called Ash Lawn-Highland; it is owned by his alma mater, the College of William and Mary, which has opened it to the public). Throughout his life, he was not financially solvent, and his wife's poor health made matters worse.  For these reasons, he and his wife lived in Oak Hill until Elizabeth's death on September 23, 1830.""]",Monroe Hill on the grounds of the University of Virginia.,0.0,0.891107768396294,0.0,0.0
Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,Yes,"['Immediately after Lee\'s surrender, Grant had the sad honor of serving as a pallbearer at the funeral of his greatest champion, Abraham Lincoln. Lincoln had been quoted after the massive losses at Shiloh as saying, ""I can\'t spare this man. He fights."" It was a two-sentence description that completely caught the essence of Ulysses S. Grant.']",yes,1.0,0.8370057443065454,0.9999999999,1.0
What is an otter's den called?,a holt,"[""An otter's den is called a holt.  Male otters are dog-otters, females are bitches and babies are cubs or pups.  The collective noun romp is sometimes used for a group of otters, being descriptive of their often playful nature.""]",Holt,1.0,1.0,0.9999999999,1.0
Who dismantled partisan and sectional coalitions ?,Wilson dismantled partisan and sectional coalitions.,"['The longest section of Congressional Government is on the United States House of Representatives, where Wilson pours out scorn for the committee system. Power, Wilson wrote, ""is divided up, as it were, into forty-seven signatories, in each of which a Standing Committee is the court baron and its chairman lord proprietor. These petty barons, some of them not a little powerful, but none of them within reach [of] the full powers of rule, may at will exercise an almost despotic sway within their own shires, and may sometimes threaten to convulse even the realm itself."". Congressional Government, 7']",many congressmen,0.0,0.9082365614436497,0.0,0.0
Did James Monroe fight in the Continental Army?,yes,"['* Monroe was (arguably) the last president to have fought in the Revolutionary War, although Andrew Jackson served as a 13-year-old courier in the Continental Army and was taken as a prisoner of war by the British.']",yes,0.0,0.9574358574284064,0.9999999999,1.0
Garbage is what?,"recycled or transported to Thompson, Manitoba","['Polar bears, being both curious and scavengers   will, where they come into contact with humans, investigate and consume garbage.  This has been documented at the dump in Churchill, Manitoba prior to its closure.  .  Polar bears may attempt to consume almost anything they can find, including hazardous substances such as styrofoam, plastic, car batteries, ethylene glycol, hydraulic fluid, and motor oil.  .   .  To protect the bears, the Churchill dump was closed in 2006. Garbage is now recycled or transported to Thompson, Manitoba.  Hudson Bay Post']","Garbage is now recycled or transported to Thompson, Manitoba.",1.0,0.8465254847821452,0.9999999999,1.0
How do cuba and declining participation relate?,enforcing in the South a law forbidding involvement in Cuba (for the sole purpose of adding it as a slave state),"[""Fillmore's greatest difficulty with the fugitive slave law was how to enforce it without seeming to show favor towards Southern Whigs. His solution was to appease both northern and southern Whigs by calling for the enforcement of the fugitive slave law in the North, and enforcing in the South a law forbidding involvement in Cuba (for the sole purpose of adding it as a slave state).""]",Canada maintains full relations with both.,1.0,0.7815070527730033,0.0,0.0
Where is old Ghana in relation to present Ghana?,regions of ghana,['Regions of Ghana'],500 miles north,0.0,0.8713565555762323,0.0,0.0
Is Canada a geographically vast and ethnically diverse country ?,Yes,"['Canada is a geographically vast and ethnically diverse country. There are cultural variations and distinctions from province to province and region to region. Canadian culture has also been greatly influenced by immigration from all over the world. Many Canadians value multiculturalism, and see Canadian culture as being inherently multicultural.  Multicultural heritage is enshrined in Section 27 of the Canadian Charter of Rights and Freedoms.']",yes,1.0,0.8953901458578035,0.9999999999,1.0
Do sea otters live along the Pacific coast?,yes,"['Sea otters (Enhydra lutris) live along the Pacific coast of North America.  Their historic range included shallow waters of the Bering Strait and Kamchatka, and as far south as Japan. Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. By the time the 1911 Fur Seal Treaty gave them protection, so few sea otters remained that the fur trade had become unprofitable.']",Yes,1.0,0.9883784607597045,0.9999999999,1.0
Who is Daffy Duck?,a bird,"['The word duck (from Anglo-Saxon dÅ«ce), meaning the bird, came from the verb ""to duck"" (from Anglo-Saxon supposed *dÅ«can) meaning ""to bend down low as if to get under something"" or ""to dive"", because of the way many species in the dabbling duck group feed by upending (compare Dutch duiken, German tauchen = ""to dive"").']",A silly cartoon character,1.0,0.7626726053045229,0.0,0.0
Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,"Ferling, John. Adams","['* Ferling, John. Adams vs. Jefferson: The Tumultuous Election of 1800. (2004), narrative history of the election .']",John Adams,0.5,0.8673281517489868,0.0,0.0
What is Jakarta?,capital of Indonesia,"['Jakarta, the capital of Indonesia and its largest commercial center']",Indonesia's special capital region,1.0,0.8995070748344546,0.0,1.0
What bordered by Saudi?,The Qatari peninsula,"['The Qatari peninsula juts 100 miles  (160 km) into the Persian Gulf from Saudi Arabia and is slightly smaller than Connecticut. Much of the country consists of a low, barren plain, covered with sand. To the southeast lies the spectacular Khor al Adaid (""Inland Sea""), an area of rolling sand dunes surrounding an inlet of the Gulf. There are mild winters and very hot, humid summers.']",Qatar,1.0,0.8741005943094904,0.9999999999,1.0
"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?",yes,"['Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.  He was the fifth of nine children, five sons and four daughters.  He was named Stephen Grover in honor of the first pastor of the First Presbyterian Church of Caldwell, where his father was pastor at the time.  From 1841 to 1850, he lived in Fayetteville, New York  A Walking Tour of Fayetteville , but as the church frequently transferred its ministers, the family moved many times, mainly around central and southern New York State.']",yes,1.0,0.9536440023040781,0.9999999999,1.0
"What happened in a log cabin in summerhill , new york?",Abraham Lincoln Birthplace National Historic Site,['Symbolic log cabin at Abraham Lincoln Birthplace National Historic Site.'],Fillmore was born,1.0,0.7600414146887499,0.0,0.0
Where is the National Orchid Garden?,Singapore Botanic Gardens,"['Singapore Botanic Gardens, a 67.3-hectare (166 acre) Botanic Gardens in Singapore that includes the National Orchid Garden, which has a collection of more than 3,000 species of orchids.']",Singapore Botanic Gardens.,1.0,0.8948151148097568,0.9999999999,1.0
