question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Was Lincoln chosen as a presidential candidate in 1860?,Lincoln was eventually chosen as the Republican candidate for the 1860 election for several reasons.,"['Entering the presidential nomination process as a distinct underdog, Lincoln was eventually chosen as the Republican candidate for the 1860 election for several reasons. His expressed views on slavery were seen as more moderate than those of rivals William H. Seward and Salmon P. Chase. His ""Western"" origins also appealed to the newer states: other contenders, especially those with more governmental experience, had acquired enemies within the party and were weak in the critical western states, while Lincoln was perceived as a moderate who could win the West. Most Republicans agreed with Lincol']",Yes,,0.9302957760932683,0.9999999999,1.0
Who was the general in charge at the Battle of Antietam?,Allan Pinkerton,"['Lincoln, in top hat, with Allan Pinkerton and Gen. John Alexander McClernand at Antietam.']",General McClellan,0.0,0.9040294140345603,0.0,0.0
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,"[""Coolidge appointed one Justice to the Supreme Court of the United States, Harlan Fiske Stone in 1925. Stone was Coolidge's fellow Amherst alumnus and was serving as dean of Columbia Law School when Coolidge appointed him to be Attorney General in 1924. He appointed Stone to the Supreme Court in 1925, and the Senate approved the nomination. Fuess, 364  Stone was later appointed Chief Justice by President Franklin D. Roosevelt.""]",Coolidge,1.0,0.875004291946334,0.9999999999,1.0
When did Coolidge meet and marry Grace Anna Goodhue?,1905,"['In 1905 Coolidge met and married Grace Anna Goodhue, a local schoolteacher and fellow Vermonter. They were opposites in personality: she was talkative and fun-loving, while Coolidge was quiet and serious. Greenberg, 58â\x80\x9359  Not long after their marriage, Coolidge handed her a bag with fifty-two pairs of socks in it, all of them full of holes. Grace\'s reply was ""Did you marry me to darn your socks?"" Without cracking a smile and with his usual seriousness, Calvin answered, ""No, but I find it mighty handy."" Telleen, Maurice.  The Days Before Yesterday: 75 years ago. The Draft Horse Journal, Autu']",1905,1.0,0.9921064971821799,0.9999999999,1.0
Did Lincoln start his political career in 1832?,yes,"['Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates.  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.']",Yes,1.0,0.9656516047928845,0.9999999999,1.0
Was Celsius born in Uppsala in Sweden?,yes,"['Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.']",Yes,1.0,0.9792084988278548,0.9999999999,0.5
Did Lincoln ever represent Alton & Sangamon Railroad?,yes,"[""By the mid-1850s, Lincoln's caseload focused largely on the competing transportation interests of river barges and railroads. In one prominent 1851 case, he represented the Alton & Sangamon Railroad in a dispute with a shareholder, James A. Barret. Barret had refused to pay the balance on his pledge to the railroad on the grounds that it had changed its originally planned route. Lincoln argued that as a matter of law a corporation is not bound by its original charter when that charter can be amended in the public interest, that the newer route proposed by Alton & Sangamon was superior and less""]",Yes,1.0,0.9739297797650993,0.9999999999,1.0
Is the Celsius crater on the Moon named after him ?,The Celsius crater on the Moon is named after him.,['The Celsius crater on the Moon is named after him.'],Yes,1.0,0.951712966134384,0.9999999999,1.0
When was Coolidge born?,July 4 1872,"[""John Calvin Coolidge Jr. was born in Plymouth, Windsor County, Vermont, on July 4 1872, the only U.S. President to be born on the fourth of July. He was the elder of two children of John Calvin Sr. and Victoria Coolidge. The Coolidge family had deep roots in New England. His earliest American ancestor, John Coolidge, emigrated from Cambridge, England, around 1630 and settled in Watertown, Massachusetts. Fuess, 12  Coolidge's great-great-grandfather, also named John Coolidge, was an American army officer in the American Revolution, and was one of the first selectmen of the town of Plymouth Notc""]",July 4 1872,1.0,0.9459417565661781,0.9999999999,1.0
Are beetles endopterygotes?,yes,['Beetles are endopterygotes with complete metamorphosis.'],yes,1.0,0.9879987288498501,0.9999999999,1.0
